state,year,term,start,end
NSW,2000,4,2000-10-03,2000-12-19
Vic,2000,4,2000-10-02,2000-12-19
Qld,2000,4,2000-10-02,2000-12-15
SA,2000,4,2000-10-03,2000-12-22
WA,2000,4,2000-10-09,2000-12-15
Tas,2000,4,2000-10-02,2000-12-20
NT,2000,4,2000-10-09,2000-12-15
ACT,2000,4,2000-10-03,2000-12-19
NSW,2001,1,2001-01-29,2001-04-12
Vic,2001,1,2001-01-31,2001-04-06
Qld,2001,1,2001-01-29,2001-04-12
SA,2001,1,2001-01-29,2001-04-12
WA,2001,1,2001-02-05,2001-04-12
Tas,2001,1,2001-02-15,2001-04-12
NT,2001,1,2001-01-29,2001-04-06
ACT,2001,1,2001-02-05,2001-04-12
NSW,2001,2,2001-04-30,2001-07-06
Vic,2001,2,2001-04-23,2001-06-29
Qld,2001,2,2001-04-23,2001-06-22
SA,2001,2,2001-04-30,2001-07-06
WA,2001,2,2001-04-30,2001-07-06
Tas,2001,2,2001-04-23,2001-06-01
NT,2001,2,2001-04-17,2001-06-22
ACT,2001,2,2001-04-30,2001-07-06
NSW,2001,3,2001-07-23,2001-09-28
Vic,2001,3,2001-07-16,2001-09-21
Qld,2001,3,2001-07-09,2001-09-21
SA,2001,3,2001-07-23,2001-09-28
WA,2001,3,2001-07-23,2001-09-28
Tas,2001,3,2001-06-18,2001-09-07
NT,2001,3,2001-07-23,2001-09-28
ACT,2001,3,2001-07-23,2001-09-28
NSW,2001,4,2001-10-15,2001-12-20
Vic,2001,4,2001-10-08,2001-12-21
Qld,2001,4,2001-10-08,2001-12-14
SA,2001,4,2001-10-15,2001-12-14
WA,2001,4,2001-10-15,2001-12-20
Tas,2001,4,2001-09-24,2001-12-20
NT,2001,4,2001-10-08,2001-12-14
ACT,2001,4,2001-10-15,2001-12-21
NSW,2002,1,2002-01-29,2002-04-12
Vic,2002,1,2002-01-29,2002-03-28
Qld,2002,1,2002-01-24,2002-03-28
SA,2002,1,2002-01-29,2002-04-12
WA,2002,1,2002-02-04,2002-04-19
